classifier,Accuracy,Accuracy Std,Precision,Precision Std,Recall,Recall Std,F1,F1 Std,G-Mean,G-Mean Std,ROC AUC
DT,0.7653061224489796,0.42380733994479974,0.5238095238095238,0.31566751629098,0.4583333333333333,0.31566751629098,0.4888888888888889,0.31566751629098,0.6296001877353568,0.42380733994479974,0.40878378378378377
GB,0.6938775510204082,0.46088121594433534,0.4318181818181818,0.39533409444511264,0.7916666666666666,0.39533409444511264,0.5588235294117647,0.39533409444511264,0.7240246623642814,0.46088121594433534,0.7150900900900902
LR,0.6530612244897959,0.4759960730485959,0.3684210526315789,0.34992710611188266,0.5833333333333334,0.34992710611188266,0.45161290322580644,0.34992710611188266,0.6278090029174034,0.4759960730485959,0.6672297297297297
MLP,0.7448979591836735,0.4359185584345679,0.3333333333333333,0.10049854899791943,0.041666666666666664,0.10049854899791943,0.07407407407407407,0.10049854899791943,0.20134681656420728,0.4359185584345679,0.543918918918919
NB,0.6530612244897959,0.4759960730485959,0.2916666666666667,0.25753937681885636,0.2916666666666667,0.25753937681885636,0.2916666666666667,0.25753937681885636,0.47398540289988067,0.4759960730485959,0.4321509009009009
RF,0.6020408163265306,0.4894769369474064,0.32558139534883723,0.34992710611188266,0.5833333333333334,0.34992710611188266,0.417910447761194,0.34992710611188266,0.5955919154334868,0.4894769369474064,0.643581081081081
SVM,0.7857142857142857,0.41032590332414487,0.6666666666666666,0.23974163519328023,0.25,0.23974163519328023,0.36363636363636365,0.23974163519328023,0.48976000741676007,0.41032590332414487,0.32995495495495497
KNN,0.7448979591836735,0.4359185584345679,0.4666666666666667,0.25753937681885636,0.2916666666666667,0.25753937681885636,0.358974358974359,0.25753937681885636,0.5100344450477194,0.4359185584345679,0.5807995495495496
AB,0.7142857142857143,0.45175395145262565,0.4473684210526316,0.37865255745468307,0.7083333333333334,0.37865255745468307,0.5483870967741935,0.37865255745468307,0.7122638695173439,0.45175395145262565,0.6655405405405406
LSVM,0.673469387755102,0.4689438895133085,0.41304347826086957,0.3953340944451126,0.7916666666666666,0.3953340944451126,0.5428571428571428,0.3953340944451126,0.7090947153344997,0.4689438895133085,0.7286036036036035
